id,first_name,last_name,email,dog_name,dog_gender,dog_breed,address,zipcode,dog_personality,dog_age
482,Cinnamon,O'Fogarty,cofogartydd@samsung.com,American woodcock,Female,71,1 Claremont Hill,42389,2,16
483,Brit,Ball,bballde@google.com,"Puma, south american",Male,30,95 Corscot Way,31059,2,17
484,Marlee,Shoppee,mshoppeedf@weather.com,"Lizard, giant girdled",Female,97,4 Harper Hill,94977,3,2
485,Athena,Simison,asimisondg@jugem.jp,Canadian tiger swallowtail butterfly,Female,14,3612 Oak Valley Junction,85025,0,14
486,Juliet,Rathjen,jrathjendh@devhub.com,"Monkey, rhesus",Female,95,231 Sage Plaza,28305,2,19
487,Worthy,Stanyer,wstanyerdi@blogs.com,White stork,Male,26,8799 Elgar Way,44608,1,15
488,Bartholomeus,Spinnace,bspinnacedj@webmd.com,"Pie, indian tree",Male,26,34248 Clarendon Alley,73751,2,6
489,Kayle,Exrol,kexroldk@list-manage.com,Large-eared bushbaby,Female,86,0 Gerald Road,16629,5,4
490,Grover,Pengelly,gpengellydl@fda.gov,"Plover, blacksmith",Male,23,0 Melby Place,20546,2,10
491,Antin,Brickstock,abrickstockdm@amazon.co.jp,"Badger, american",Male,89,71 Oak Valley Circle,38793,1,16
492,Bette-ann,Titterell,btitterelldn@tiny.cc,Southern tamandua,Female,37,85 Armistice Court,56668,1,6
493,Gwenora,Vint,gvintdo@webeden.co.uk,"Dunnart, fat-tailed",Female,91,81883 Lakewood Place,53087,0,16
494,Milt,Roderighi,mroderighidp@ycombinator.com,Lapwing (unidentified),Male,21,65 Schurz Road,25563,4,5
495,Bennie,Bikker,bbikkerdq@wix.com,Two-toed tree sloth,Female,27,7 Paget Park,74255,4,20
496,Bobbee,Boughtwood,bboughtwooddr@usnews.com,"Pigeon, feral rock",Female,83,14722 Elka Circle,84553,2,1
497,Vernon,Gifkins,vgifkinsds@cnbc.com,"Porcupine, african",Male,20,01651 Hansons Lane,71931,1,15
498,Carry,Gurery,cgurerydt@mlb.com,"Squirrel, european red",Female,75,7 Fieldstone Alley,77633,2,14
499,Douglass,Trewman,dtrewmandu@paypal.com,"Monitor, two-banded",Male,23,2 Tennyson Street,62237,0,5
500,Billie,Bodega,bbodegadv@exblog.jp,Grizzly bear,Female,4,6 Lunder Crossing,73650,4,16
